"ingredient","box_file_name","line_file_name","box_image_url","line_image_url","box_file_id","line_file_id"
"가지볶음","가지볶음_box.png","가지볶음_line.png","https://drive.google.com/uc?export=download&id=1Ezp6r0gb3cLMEOcj-ylAS0Eh78ozhIAP","https://drive.google.com/uc?export=download&id=1drIbHD-_o2SMpQCVeGpT3MqTrT2XRj0n","1Ezp6r0gb3cLMEOcj-ylAS0Eh78ozhIAP","1drIbHD-_o2SMpQCVeGpT3MqTrT2XRj0n"
"감자샐러드","감자샐러드_box.png","감자샐러드_line.png","https://drive.google.com/uc?export=download&id=1uikUq25EGL3-kY-2ylz0kqWXXYJdx9mL","https://drive.google.com/uc?export=download&id=18FxUQ0ZfMg4bC81QQwlVvNn10wMQ9Lne","1uikUq25EGL3-kY-2ylz0kqWXXYJdx9mL","18FxUQ0ZfMg4bC81QQwlVvNn10wMQ9Lne"
"계란지단","계란지단_box.png","계란지단_line.png","https://drive.google.com/uc?export=download&id=1OKIMemlIIRZAJqB41sMqYbOF0-TYEG4f","https://drive.google.com/uc?export=download&id=1us2wYK37xoit-VyI7o4Fux8aH2i9eazJ","1OKIMemlIIRZAJqB41sMqYbOF0-TYEG4f","1us2wYK37xoit-VyI7o4Fux8aH2i9eazJ"
"고구마","고구마_box.png","고구마_line.png","https://drive.google.com/uc?export=download&id=1_nQ5EdJMvI-PCZOlMhK63CWNkSV971Gc","https://drive.google.com/uc?export=download&id=1OQ9nf6GvF4S998e_TDAI4gbrgVGNo03-","1_nQ5EdJMvI-PCZOlMhK63CWNkSV971Gc","1OQ9nf6GvF4S998e_TDAI4gbrgVGNo03-"
"고사리","고사리_box.png","고사리_line.png","https://drive.google.com/uc?export=download&id=173SwQWhnMvgIZoFKCnMBnopty1valkhW","https://drive.google.com/uc?export=download&id=1-RNrQxEgHwUCuQtjwuVv5j5LouHmrIPa","173SwQWhnMvgIZoFKCnMBnopty1valkhW","1-RNrQxEgHwUCuQtjwuVv5j5LouHmrIPa"
"고추","고추_box.png","고추_line.png","https://drive.google.com/uc?export=download&id=1_SPAjG6n4JuiHHKFIaXDRimgUGe-aWqk","https://drive.google.com/uc?export=download&id=114Wb_0bKy18RRgCAM0KVcWX3P1Fw8lMT","1_SPAjG6n4JuiHHKFIaXDRimgUGe-aWqk","114Wb_0bKy18RRgCAM0KVcWX3P1Fw8lMT"
"곤약","곤약_box.png","곤약_line.png","https://drive.google.com/uc?export=download&id=1r1wp2lq2Ms50XCw-ZyglPNZ8sbfEhgBS","https://drive.google.com/uc?export=download&id=1jT8omrNAIMkYK1tsoENJdHuzO48IIGXj","1r1wp2lq2Ms50XCw-ZyglPNZ8sbfEhgBS","1jT8omrNAIMkYK1tsoENJdHuzO48IIGXj"
"김치","김치_box.png","김치_line.png","https://drive.google.com/uc?export=download&id=16yEvvFccAEl6TAaslVyEz7eYT16lVxuK","https://drive.google.com/uc?export=download&id=1rTgBEEE96NjKdLpS2QoLJnJz0NDZhZQL","16yEvvFccAEl6TAaslVyEz7eYT16lVxuK","1rTgBEEE96NjKdLpS2QoLJnJz0NDZhZQL"
"깻잎","깻잎_box.png","깻잎_line.png","https://drive.google.com/uc?export=download&id=1V9zaMh98XeZcuYUtKbxTAfNkvdkBqY3k","https://drive.google.com/uc?export=download&id=14FL07pW_U8uF3drPmu2uz27RyOXLpH99","1V9zaMh98XeZcuYUtKbxTAfNkvdkBqY3k","14FL07pW_U8uF3drPmu2uz27RyOXLpH99"
"날치알","날치알_box.png","날치알_line.png","https://drive.google.com/uc?export=download&id=1horu0U71VQ_CFqqNXwtBPLyYSjmBqDj7","https://drive.google.com/uc?export=download&id=1V0hqcOokwlvU1xu6a0R4mnJ1zBwveLKA","1horu0U71VQ_CFqqNXwtBPLyYSjmBqDj7","1V0hqcOokwlvU1xu6a0R4mnJ1zBwveLKA"
"단무지","단무지_box.png","단무지_line.png","https://drive.google.com/uc?export=download&id=1yBejfb9noFPNMAGZxaRiSQusOO1IUn34","https://drive.google.com/uc?export=download&id=1Wy_CHpRZVx8IEOsw1bVPCpoenWWRmpIx","1yBejfb9noFPNMAGZxaRiSQusOO1IUn34","1Wy_CHpRZVx8IEOsw1bVPCpoenWWRmpIx"
"달걀말이","달걀말이_box.png","달걀말이_line.png","https://drive.google.com/uc?export=download&id=1-5GATY6xUZjakiSbqK_rDib4M_kgNTdl","https://drive.google.com/uc?export=download&id=1BBQOeDTs67N8wTBUhfHLPo6rGQngaxvT","1-5GATY6xUZjakiSbqK_rDib4M_kgNTdl","1BBQOeDTs67N8wTBUhfHLPo6rGQngaxvT"
"닭가슴살","닭가슴살_box.png","닭가슴살_line.png","https://drive.google.com/uc?export=download&id=1K0yt_p_OA1vY6XGQvIJvgC9_zBdtg4pv","https://drive.google.com/uc?export=download&id=1K8lF2FwPafu-YQqykmxCi6UnDe9vpxLX","1K0yt_p_OA1vY6XGQvIJvgC9_zBdtg4pv","1K8lF2FwPafu-YQqykmxCi6UnDe9vpxLX"
"닭갈비","닭갈비_box.png","닭갈비_line.png","https://drive.google.com/uc?export=download&id=1T44K7gH1ByH2SE0nmrhAGkaegxtlal6y","https://drive.google.com/uc?export=download&id=1M8Be148eUNMweV-6_IDEue33Zr_ttBzL","1T44K7gH1ByH2SE0nmrhAGkaegxtlal6y","1M8Be148eUNMweV-6_IDEue33Zr_ttBzL"
"닭튀김","닭튀김_box.png","닭튀김_line.png","https://drive.google.com/uc?export=download&id=1ebw71i_ln0vhcrCylBw-NQM5So0jb8im","https://drive.google.com/uc?export=download&id=1D-k7MonwpfFDu6nqzBgZqTq3Gl1rztjO","1ebw71i_ln0vhcrCylBw-NQM5So0jb8im","1D-k7MonwpfFDu6nqzBgZqTq3Gl1rztjO"
"당근","당근_box.png","당근_line.png","https://drive.google.com/uc?export=download&id=10g48odSvc4CiEXs9ZpU-Il93Y-eZNapW","https://drive.google.com/uc?export=download&id=1L4L_smlvGlHBhlDDcoq3wvfQh0Y-FEv-","10g48odSvc4CiEXs9ZpU-Il93Y-eZNapW","1L4L_smlvGlHBhlDDcoq3wvfQh0Y-FEv-"
"대파","대파_box.png","대파_line.png","https://drive.google.com/uc?export=download&id=11DLoWBEFe8i0myTridHlE_0Igi2FtOSq","https://drive.google.com/uc?export=download&id=1ANk0r0h3WN7sM6lbYF21lD2TGZkR5luY","11DLoWBEFe8i0myTridHlE_0Igi2FtOSq","1ANk0r0h3WN7sM6lbYF21lD2TGZkR5luY"
"돈가스","돈가스_box.png","돈가스_line.png","https://drive.google.com/uc?export=download&id=1bIS2BKk-SnxqopJ2gte1U3ycF7HM6PTJ","https://drive.google.com/uc?export=download&id=10P9itPoMmrK2WFVZCGaWGB7xU_q1fnwK","1bIS2BKk-SnxqopJ2gte1U3ycF7HM6PTJ","10P9itPoMmrK2WFVZCGaWGB7xU_q1fnwK"
"돌맹이","돌맹이_box.png","돌맹이_line.png","https://drive.google.com/uc?export=download&id=1YFoR69JCk3AWJPc_yFnvTwuc6-Rz8HRD","https://drive.google.com/uc?export=download&id=1FYLXaZk8ObePzgibfU5bV9VktDpoF_cp","1YFoR69JCk3AWJPc_yFnvTwuc6-Rz8HRD","1FYLXaZk8ObePzgibfU5bV9VktDpoF_cp"
"두부","두부_box.png","두부_line.png","https://drive.google.com/uc?export=download&id=1pg3xwtuRx7O0ZWABzrkAh7RHxqwNM2N9","https://drive.google.com/uc?export=download&id=15cGiGTKUN69UBAxNkkaYNdUD8N7EjJNf","1pg3xwtuRx7O0ZWABzrkAh7RHxqwNM2N9","15cGiGTKUN69UBAxNkkaYNdUD8N7EjJNf"
"떡","떡_box.png","떡_line.png","https://drive.google.com/uc?export=download&id=1OC8OVQ6EO0kdZE2joIvBDWTS6-ozDFZh","https://drive.google.com/uc?export=download&id=10txygM59LmWLvuEZtBVG7rZanFI7ailh","1OC8OVQ6EO0kdZE2joIvBDWTS6-ozDFZh","10txygM59LmWLvuEZtBVG7rZanFI7ailh"
"떡갈비","떡갈비_box.png","떡갈비_line.png","https://drive.google.com/uc?export=download&id=1KRKxhFTRM4wCbXLPC0h_kfEiBOFH57UO","https://drive.google.com/uc?export=download&id=1Soo7_NfZLhU5KsG4yTPWHggovqa489Fj","1KRKxhFTRM4wCbXLPC0h_kfEiBOFH57UO","1Soo7_NfZLhU5KsG4yTPWHggovqa489Fj"
