Index,이름,분류,가격,이미지,필수여부,브러시ID,브러시이미지,브러시반경,입자수,흩뿌림반경,최소크기,최대크기,스탬프간격,,,,,,,,,,
r1,기본 김,김,,김_0,,b01,김_0,,,,,,,,,,,,,,,,
r2,참기름 김,김,,참기름김_0,,b02,참기름김_0,,,,,,,,,,,참기름김_0_0,참기름김_0,,,,
r3,구운 김,김,,구운김_0,,b03,구운김_0,,,,,,,,,,,구운김_0_0,구운김_0,,,,
r4,적신 김,김,,적신김_0,,b04,적신김_0,,,,,,,,,,,적신김_0_0,적신김_0,,,,
r5,호일,김,,호일_0_0,,b05,호일_0_0,,,,,,,,,,,호일_0_0_0,호일_0_0,,,,
r6,소금 김,김,,소금김_0,,b06,소금김_0,,,,,,,,,,,소금김_0_0,소금김_0,,,,
r7,매운 김,김,,매운김_0,,b07,매운김_0,,,,,,,,,,,매운김_0_0,매운김_0,,,,
r8,간장 김,김,,간장김_0,,b08,간장김_0,,,,,,,,,,,간장김_0_0,간장김_0,,,,
r9,마른 김,김,,마른김_0,,b09,마른김_0,,,,,,,,,,,마른김_0_0,마른김_0,,,,
r10,두꺼운 김,김,,두꺼운김_0,,b10,두꺼운김_0,,,,,,,,,,,두꺼운김_0_0,두꺼운김_0,,,,
r11,얇은 김,김,,얇은김_0,,b11,얇은김_0,,,,,,,,,,,얇은김_0_0,얇은김_0,,,,
r12,검은 김,김,,검은김_0,,b12,검은김_0,,,,,,,,,,,검은김_0_0,검은김_0,,,,
r13,파래 김,김,,파래김_0,,b13,파래김_0,,,,,,,,,,,파래김_0_0,파래김_0,,,,
r14,김가루,김,,김가루_0,,b14,김가루_0,,,,,,,,,,,김가루_0_0,김가루_0,,,,
r15,탄 김,김,,탄김_0,,b15,탄김_0,,,,,,,,,,,탄김_0_0,탄김_0,,,,
r16,흰쌀밥,밥,,흰쌀밥_통_0,,b16,흰쌀밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,흰쌀밥_통_0_통,흰쌀밥_통_0_통_0,흰쌀밥_0,,,,
r17,현미밥,밥,,현미밥_통_0,,b17,현미밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,현미밥_통_0_통,현미밥_통_0_통_0,현미밥_0,,,,
r18,흑미밥,밥,,흑미밥_통_0,,b18,흑미밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,흑미밥_통_0_통,흑미밥_통_0_통_0,흑미밥_0,,,,
r19,보리밥,밥,,보리밥_통_0,,b19,보리밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,보리밥_통_0_통,보리밥_통_0_통_0,보리밥_0,,,,
r20,잡곡밥,밥,,잡곡밥_통_0,,b20,잡곡밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,잡곡밥_통_0_통,잡곡밥_통_0_통_0,잡곡밥_0,,,,
r21,찹쌀밥,밥,,찹쌀밥_통_0,,b21,찹쌀밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,찹쌀밥_통_0_통,찹쌀밥_통_0_통_0,찹쌀밥_0,,,,
r22,콩밥,밥,,콩밥_통_0,,b22,콩밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,콩밥_통_0_통,콩밥_통_0_통_0,콩밥_0,,,,
r23,귀리밥,밥,,귀리밥_통_0,,b23,귀리밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,귀리밥_통_0_통,귀리밥_통_0_통_0,귀리밥_0,,,,
r24,옥수수밥,밥,,옥수수밥_통_0,,b24,옥수수밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,옥수수밥_통_0_통,옥수수밥_통_0_통_0,옥수수밥_0,,,,
